,ShTol,ShTol_seedings,DrTol,Wtmin,s
Abies alba,0.9199999999999999,0.9199999999999999,0.38941176470588235,0.346,0.7674418604651162
Picea abies,0.51,0.6037136315407382,0.1,0.9199999999999999,0.9199999999999999
Pinus sylvestris,0.1,0.1,0.7270588235294116,0.9199999999999999,0.44325581395348834
Quercus ilex,0.51,0.6037136315407382,0.9199999999999999,0.1,0.2525581395348837
Pinus cembra,0.51,0.2854582007036355,0.558235294117647,0.469,0.1
Fagus sylvatica,0.9199999999999999,0.9199999999999999,0.4376470588235294,0.346,0.7865116279069767
