time,GDD_E,GDD_D,Tw,DrI
1950,2073.979150390633,2302.820367431645,-10.145312499999932,0.0495236751361174
1951,1739.789697265633,1875.485284423833,-6.323779296874932,0.055868152411444966
1952,1992.248681640633,2275.660028076177,-11.253527832031182,0.06342092769359067
1953,1831.469688034066,2114.373406982427,-10.21210403442376,0.2303285656242257
1954,1727.1849914550864,1927.8308349609424,-9.731494140624932,0.25204809059162875
1955,2164.267266845712,2224.1130920410205,-1.6676513671874318,0.23423198059242462
1956,1395.754272079476,1854.157250976568,-13.188834381103447,0.05179482974767875
1957,1823.884362792977,1911.272149658208,-6.519458007812432,0.04595184449068183
1958,1923.753991699227,2019.4443908691453,-3.639636230468682,0.3483487647265614
1959,2124.3253723144617,2157.982598876958,-4.434130859374932,0.141325250761833
1960,1854.0511413574304,2028.819268798833,-9.254565429687432,0.11452998641849697
1961,2292.196374511728,2280.027276611333,-2.770434570312432,0.3441825628764885
1962,1906.7578369140708,2215.270623779302,-7.269396972656182,0.014467345313907977
1963,1488.1851745605552,1935.113305664068,-18.262316894531185,0.015069995086630133
1964,1941.057305908212,2149.43798217774,-8.110644531249932,0.1430190033286561
1965,1759.775537109383,1977.828942871099,-8.852099609374932,0.015207817712875887
1966,2039.0746704101648,2103.8611083984424,-1.2108642578124318,0.04036968718841182
1967,1954.9632507324304,2117.724237060552,-10.029528808593682,0.05302791779996036
1968,1869.1466308593835,1978.841638183599,-5.861010742187432,0.15122573749062868
1969,1715.516656494149,1971.5312438964893,-10.339648437499932,0.1314294044648108
1970,1862.0372863769608,2019.2805725097703,-6.459277343749932,0.10602069781303891
1971,1745.1733642578208,2087.611444091802,-6.972033691406182,0.20117123644768384
1972,1752.465142822274,1751.4077697753955,-3.459521484374932,0.11794528319542862
1973,1750.2647644043052,2019.1763244628955,-8.948840332031182,0.2482765161582671
1974,1791.1486145019614,1782.0306335449268,-1.2039672851561818,0.017121810811533026
1975,1812.5082946777427,1925.641625976568,-3.296252441406182,0.01907646693489165
1976,1835.828210449227,2011.002160644536,-5.619799804687432,0.15045761377643688
1977,1796.0743347168052,1795.860253906255,-2.847583007812432,0.1478824969588615
1978,1734.2329040527427,1850.20327148438,-6.284289550781182,0.014323684257049328
1979,1772.430505371102,1975.416345214849,-7.739001464843682,0.06651229000385463
1980,1566.142236328133,1819.157830810552,-8.113146972656182,0.08073478668803394
1981,1844.4137817382896,2000.164086914068,-8.564257812499932,0.073548577524152
1982,2127.328088378915,2145.1433349609424,-2.418383789062432,0.020070841582904283
1983,1963.4948364257896,2118.373925781255,-8.828845214843682,0.11369557379736195
1984,1704.1815429687583,1867.00209960938,-7.271166992187432,0.2681103047182941
1985,1792.6527648925864,2156.201074218755,-9.319506835937432,0.3376549532076927
1986,2022.55880126954,2231.5444885253955,-9.474414062499932,0.3968051081735714
1987,1939.3595520019608,2187.8701416015674,-8.536120605468682,0.061749561648499596
1988,2071.9835449218835,2136.1575256347705,-3.318591308593682,0.09288396812127415
1989,2349.270318603524,2289.418908691411,-2.624682617187432,0.008090882638546073
1990,2213.1205078125085,2241.092492675786,-4.441577148437432,0.0481721020922853
1991,1927.789880371102,2114.876031494145,-9.813281249999932,0.1621838695644473
1992,1964.401422119149,2017.4785705566453,-6.246020507812432,0.16752882957650425
1993,1948.27462158204,2062.338739013677,-4.375903320312432,0.0937952642923326
1994,2397.866662597665,2253.840539550786,-3.474658203124932,0.054712120671670264
1995,2232.801049804696,2243.132775878911,-1.8152954101561816,0.1580668349633826
1996,1953.8630615234456,1981.1425415039112,-2.578784179687432,0.11980858257793749
1997,2342.6058898925867,2227.570031738286,-2.613024902343682,0.08868132937556897
1998,2041.273187255868,2119.172540283208,-3.649401855468682,0.1520218025309993
1999,2114.1109252929773,2261.0280700683643,-5.803881835937432,0.02036937522751425
